id;idetape;libelleetape;statutetape;heureexecutionetape;codeetape
1;447;Licensed bleeding-edge;fresh-thinking circuit Granite;reboot Investment Account grey;firewall Manors regional
2;23354;Costa Rica wireless multi-state;San Marino Ergonomic;magenta optical;Handcrafted Steel Hat applications Automotive
3;50734;Factors Estonia connecting;Creative Analyst olive;Metal withdrawal;Small Kids Applications
4;94306;reinvent Cambridgeshire;fuchsia benchmark Baby;Generic Frozen Keyboard Lodge;navigate
5;86866;service-desk Handcrafted Steel Chair Zambian Kwacha;interfaces Steel;connecting Tuna feed;deposit ivory Frozen
6;28709;invoice;Maldives;index Awesome SMTP;Pa'anga
7;10575;withdrawal;Functionality;Persevering Director Slovenia;European Monetary Unit (E.M.U.-6)
8;76514;Barbados Dollar Luxembourg JBOD;Jewelery lavender Checking Account;Music Music;Keys compressing
9;21535;sticky applications Guinea Franc;data-warehouse compress back up;Associate Interactions;Soft eco-centric firewall
10;91558;Plastic black;Afghani;Buckinghamshire North Korean Won service-desk;Cyprus Baby
